,Restaurant_id,Restaurant_link,Retaurant Name,Rating,price_for_one_two,Cousines
0,667962,https://www.swiggy.com/restaurants/paris-panini-gourmet-sandwiches-and-wraps-church-street-central-bangalore-bangalore-667962,Paris Panini - Gourmet Sandwiches & Wraps,4.5,₹500 FOR TWO,"Continental, Pastas, Salads, Snacks, Desserts, Fast Food, French"
1,3241,https://www.swiggy.com/restaurants/meghana-foods-residency-road-ashok-nagar-bangalore-3241,Meghana Foods,4.5,₹500 FOR TWO,"Biryani, Andhra, South Indian, North Indian, Chinese, Seafood"
2,109787,https://www.swiggy.com/restaurants/chianti-mg-road-bangalore-109787,Chianti,4.4,₹1250 FOR TWO,"Italian, Pizzas, Salads, Pastas, Desserts"
3,121603,https://www.swiggy.com/restaurants/kannur-food-point-sg-palya-tavarekere-bangalore-121603,Kannur Food Point,3.9,₹300 FOR TWO,"Kerala, Chinese"
4,574263,https://www.swiggy.com/restaurants/rahhams-pulikeshi-nagar-frazer-town-bangalore-574263,Rahhams,4.3,₹700 FOR TWO,"Biryani, Mughlai, North Indian, Kebabs, Chinese, Seafood, Beverages"
5,30531,https://www.swiggy.com/restaurants/hotel-empire-brigade-road-bangalore-30531,Hotel Empire,4.3,₹450 FOR TWO,"North Indian, Kebabs, Biryani"
6,484182,https://www.swiggy.com/restaurants/california-burrito-gandhi-bazaar-basavanagudi-bangalore-484182,California Burrito,4.5,₹250 FOR TWO,"Mexican, American, Salads, Continental, Keto, Healthy Food"
7,210945,https://www.swiggy.com/restaurants/royal-restaurant-sulthangunta-shivajinagar-bangalore-210945,Royal Restaurant,3.9,₹300 FOR TWO,"Chinese, North Indian, Tandoor"
8,29063,https://www.swiggy.com/restaurants/misu-ashok-nagar-st-marks-road-bangalore-29063,Misu,4.4,₹1300 FOR TWO,"Asian, Chinese, Vietnamese, Malaysian, Sushi, Singaporean, Desserts"
9,280474,https://www.swiggy.com/restaurants/empire-juices-and-desserts-gandhi-nagar-majestic-bangalore-280474,Empire Juices and Desserts,4,₹200 FOR TWO,"Ice Cream, Juices"
10,196047,https://www.swiggy.com/restaurants/new-taj-darbar-saint-marys-church-road-shivajinagar-bangalore-196047,New Taj Darbar,3.4,₹300 FOR TWO,"Biryani, Indian, Chinese, Tandoor, Seafood"
11,5938,https://www.swiggy.com/restaurants/burger-king-tasker-town-shivaji-nagar-bangalore-5938,Burger King,4.1,₹350 FOR TWO,"Burgers, American"
12,3369,https://www.swiggy.com/restaurants/truffles-ashok-nagar-st-marks-road-bangalore-3369,Truffles,4.4,₹450 FOR TWO,"American, Desserts, Continental, Italian"
13,252332,https://www.swiggy.com/restaurants/al-bek-sampige-road-malleshwaram-bangalore-252332,Al-Bek,4.2,₹500 FOR TWO,"Arabian, Tandoor, Biryani"
14,10575,https://www.swiggy.com/restaurants/pizza-hut-shanti-nagar-bangalore-10575,Pizza Hut,3.9,₹600 FOR TWO,Pizzas
15,424609,https://www.swiggy.com/restaurants/bikaner-sweets-4th-t-block-jayanagar-bangalore-424609,Bikaner Sweets,4.1,₹99 FOR TWO,Sweets
16,280474,https://www.swiggy.com/restaurants/empire-juices-and-desserts-gandhi-nagar-majestic-bangalore-280474,Empire Juices and Desserts,4,₹200 FOR TWO,"Ice Cream, Juices"
17,30959,https://www.swiggy.com/restaurants/kfc-garuda-mall-magrath-road-bangalore-30959,KFC,3.7,₹400 FOR TWO,"Burgers, Biryani, American, Snacks, Fast Food"
18,420484,https://www.swiggy.com/restaurants/keventers-ice-cream-garuda-mall-magrath-road-bangalore-420484,Keventers Ice Cream,4.4,₹200 FOR TWO,"Ice Cream, Desserts"
19,414818,https://www.swiggy.com/restaurants/ath-all-things-healthy-doopanahalli-indiranagar-bangalore-414818,ATH - All Things Healthy!,4.3,₹200 FOR TWO,"Healthy Food, Indian, Bakery, Snacks, North Indian, Keto"
20,424616,https://www.swiggy.com/restaurants/sea-spice-multicuisine-restaurant-sampige-road-malleshwaram-bangalore-424616,Sea Spice Multicuisine Restaurant,4.6,₹400 FOR TWO,"Seafood, Chinese, Biryani"
21,12808,https://www.swiggy.com/restaurants/a2b-adyar-ananda-bhavan-wilson-garden-shanti-nagar-bangalore-12808,A2B - Adyar Ananda Bhavan,4.4,₹300 FOR TWO,"South Indian, North Indian, Sweets, Chinese"
22,2915,https://www.swiggy.com/restaurants/watsons-vasanth-nagar-bangalore-2915,Watson's,3.2,₹450 FOR TWO,"Continental, Chinese, North Indian, Asian, European"
23,620897,https://www.swiggy.com/restaurants/narmada-chain-of-restaurant-madhavraya-mudaliar-raod-frazer-town-bangalore-620897,Narmada Chain Of Restaurant,4.4,₹500 FOR TWO,"Biryani, Andhra, South Indian"
24,609247,https://www.swiggy.com/restaurants/the-cake-fancy-patelamma-temple-street-basavanagudi-bangalore-609247,The cake fancy,--,₹250 FOR TWO,Bakery
25,698511,https://www.swiggy.com/restaurants/burma-burma-brigade-road-gr-floor-brigade-road-bangalore-698511,Burma Burma - Brigade Road,--,₹1300 FOR TWO,"Burmese, Asian, Salads, Ice Cream, Desserts"
26,464509,https://www.swiggy.com/restaurants/leons-burgers-and-wings-leon-grill-pulkeshi-nagar-frazer-town-bangalore-464509,Leon's - Burgers & Wings (Leon Grill),4.3,₹300 FOR TWO,"American, Snacks, Turkish, Portuguese, Continental"
27,263637,https://www.swiggy.com/restaurants/pure-veg-meals-by-lunchbox-1st-main-rd-vasanth-nagar-bangalore-263637,Pure Veg Meals by Lunchbox,4,₹200 FOR TWO,"Biryani, North Indian, Desserts, Beverages"
28,2824,https://www.swiggy.com/restaurants/fanoos-johnson-market-richmond-road-bangalore-2824,Fanoos,4,₹300 FOR TWO,"Biryani, Tandoor, Kebabs, Barbecue"
29,643832,https://www.swiggy.com/restaurants/wefit-bowls-salads-and-sandwiches-langford-road-santhinagar-bangalore-643832,"WeFit-Bowls, Salads & Sandwiches",--,₹250 FOR TWO,"Healthy Food, Salads, Keto, Snacks"
30,375141,https://www.swiggy.com/restaurants/shrinidhi-military-hotel-south-end-road-basavanagudi-bangalore-375141,Shrinidhi Military Hotel,3.9,₹299 FOR TWO,South Indian
31,576474,https://www.swiggy.com/restaurants/aromas-of-biryani-jayanagar-bangalore-576474,Aromas of Biryani,4,₹600 FOR TWO,Biryani
32,32738,https://www.swiggy.com/restaurants/donne-biryani-house-sampige-road-malleshwaram-bangalore-32738,Donne Biryani House,4,₹300 FOR TWO,"Biryani, South Indian"
33,29784,https://www.swiggy.com/restaurants/cakezone-domlur-layout-bangalore-29784,CakeZone,4.4,₹200 FOR TWO,"Bakery, Desserts, Sweets, Ice Cream"
34,94759,https://www.swiggy.com/restaurants/roti-ghar-gandhi-bazaar-main-road-basavanagudi-bangalore-94759,Roti Ghar,4.2,₹400 FOR TWO,"Chinese, South Indian, North Indian, Desserts, Fast Food, Beverages, Mughlai"
35,5247,https://www.swiggy.com/restaurants/corner-house-ice-cream-residency-road-ashok-nagar-bangalore-5247,Corner House Ice Cream,4.7,₹250 FOR TWO,"Ice Cream, Desserts"
36,382861,https://www.swiggy.com/restaurants/hotel-moon-light-kuvempu-road-malleshwaram-bangalore-382861,Hotel Moon Light,4.2,₹500 FOR TWO,"Indian, Chinese, Biryani, Tandoor"
37,426393,https://www.swiggy.com/restaurants/svss-biryani-cmh-road-indiranagar-bangalore-426393,SVSS Biryani,4.2,₹500 FOR TWO,"Hyderabadi, Andhra, Continental"
38,380655,https://www.swiggy.com/restaurants/siddique-kabab-centre-coles-park-frazer-town-bangalore-380655,Siddique kabab centre,4.2,₹200 FOR TWO,"Chinese, Arabian, Tandoor"
39,40443,https://www.swiggy.com/restaurants/new-shanti-sagar-3rd-block-rajajinagar-bangalore-40443,New Shanti Sagar,4.1,₹200 FOR TWO,"South Indian, Chinese, North Indian, Fast Food"
40,443424,https://www.swiggy.com/restaurants/n-razakhiya-hotel-umar-nagar-nagawara-bangalore-443424,N.Razakhiya Hotel,3.9,₹300 FOR TWO,"North Indian, Chinese, Tandoor, Sweets, Beverages"
41,6924,https://www.swiggy.com/restaurants/freshmenu-johnson-market-richmond-road-bangalore-6924,FreshMenu,4.1,₹250 FOR TWO,"Continental, Chinese, Oriental, Asian, Healthy Food, Fast Food, Indian, Desserts"
42,222046,https://www.swiggy.com/restaurants/chikpet-donne-biryani-house-palace-guttahalli-palace-guttahalli-seshadripuram-bangalore-222046,Chikpet Donne Biryani House Palace Guttahalli,4,₹300 FOR TWO,"Biryani, South Indian"
43,41100,https://www.swiggy.com/restaurants/nagarjuna-residency-road-ashok-nagar-bangalore-41100,Nagarjuna,4.4,₹600 FOR TWO,"Andhra, South Indian, Biryani, Beverages, Desserts"
44,264863,https://www.swiggy.com/restaurants/al-zara-mandi-arabian-restaurant-mm-road-frazer-town-bangalore-264863,Al Zara Mandi Arabian Restaurant,4.2,₹500 FOR TWO,"Arabian, North Indian, Indian, Desserts"
45,252667,https://www.swiggy.com/restaurants/maven-kitchen-vivek-nagar-ejipura-bangalore-252667,Maven Kitchen,4.4,₹199 FOR TWO,"Naga, Chinese"
46,478720,https://www.swiggy.com/restaurants/razakhiya-hotel-3rd-stage-hebbala-bangalore-478720,Razakhiya Hotel,4.1,₹300 FOR TWO,"North Indian, Indian"
47,432536,https://www.swiggy.com/restaurants/raidan-1st-block-r-t-nagar-bangalore-432536,Raidan,4,₹400 FOR TWO,"Arabian, Chinese, Beverages, Mughlai"
48,48556,https://www.swiggy.com/restaurants/imperial-restaurant-central-street-mg-road-bangalore-48556,Imperial Restaurant,4,₹400 FOR TWO,"Arabian, Chinese, Desserts, Mughlai, North Indian, Seafood, South Indian"
49,137297,https://www.swiggy.com/restaurants/chicken-county-restaurant-gandhi-nagar-k-g-circle-majestic-bangalore-137297,Chicken County Restaurant,4.2,₹300 FOR TWO,"North Indian, Chinese, Tandoor, Grill, Biryani, Kebabs, Ice Cream, Juices, South..."
50,307050,https://www.swiggy.com/restaurants/call-me-chow-8th-block-koramangala-bangalore-307050,Call Me Chow,4.3,₹400 FOR TWO,"Chinese, Pan-Asian"
51,611922,https://www.swiggy.com/restaurants/the-cake-deluxe-patelamma-temple-street-basavanagudi-bangalore-611922,The cake deluxe,4.6,₹250 FOR TWO,"Bakery, Desserts, Cafe"
52,3332,https://www.swiggy.com/restaurants/the-purple-pan-d-block-rajajinagar-bangalore-3332,The Purple Pan,4,₹400 FOR TWO,"Mughlai, North Indian, Chinese, Arabian, Biryani, Tandoor"
53,37027,https://www.swiggy.com/restaurants/7-plates-benson-cross-road-frazer-town-bangalore-37027,7 Plates,4.2,₹350 FOR TWO,"Biryani, Chinese, North Indian"
54,648545,https://www.swiggy.com/restaurants/aramane-donne-biriyani-margosa-rd-malleshwaram-bangalore-648545,Aramane Donne Biriyani,--,₹399 FOR TWO,"Biryani, Indian"
55,1371,https://www.swiggy.com/restaurants/hotel-savitha-family-restaurant-4th-block-koramangala-bangalore-1371,Hotel Savitha Family Restaurant,3.9,₹150 FOR TWO,"North Indian, South Indian, Biryani, Chinese, Indian, Tandoor, Beverages"
56,684427,https://www.swiggy.com/restaurants/cafe-amudham-lalbhagh-siddapura-jayanagar-bangalore-684427,Cafe Amudham,4.6,₹400 FOR TWO,"South Indian, Snacks"
57,17167,https://www.swiggy.com/restaurants/the-punjabi-rasoi-100-feet-road-indiranagar-bangalore-17167,The Punjabi Rasoi,4.3,₹800 FOR TWO,North Indian
58,639122,https://www.swiggy.com/restaurants/namaste-sampige-road-malleshwaram-bangalore-639122,Namaste,4.1,₹100 FOR TWO,"South Indian, Thalis, Snacks, Biryani, Indian, Chinese, Desserts, Beverages"
59,61983,https://www.swiggy.com/restaurants/rajathadri-food-fort-7th-block-jayanagar-bangalore-61983,Rajathadri Food Fort,4.3,₹350 FOR TWO,"Chinese, South Indian, North Indian, Desserts"
60,63048,https://www.swiggy.com/restaurants/sharief-bhai-frazer-town-bangalore-63048,Sharief Bhai,4.2,₹400 FOR TWO,"Mughlai, Biryani, Arabian, Kebabs, Beverages, Desserts"
61,28570,https://www.swiggy.com/restaurants/royal-treat-5th-block-koramangala-bangalore-28570,Royal Treat,4.1,₹193 FOR TWO,"Biryani, Mughlai, Seafood, North Indian"
62,29673,https://www.swiggy.com/restaurants/natural-ice-cream-ashok-nagar-st-marks-road-bangalore-29673,Natural Ice Cream,4.6,₹150 FOR TWO,"Ice Cream, Desserts"
63,35188,https://www.swiggy.com/restaurants/savoury-seashell-restaurant-bhavani-layout-bannerghatta-main-road-bangalore-35188,Savoury Seashell Restaurant,4,₹450 FOR TWO,"Arabian, Indian, Chinese, Tandoor, Biryani, Seafood, Kerala"
64,40098,https://www.swiggy.com/restaurants/thottathil-restaurant-maruti-nagar-btm-layout-bangalore-40098,Thottathil Restaurant,3.8,₹200 FOR TWO,South Indian
65,146304,https://www.swiggy.com/restaurants/hyderabad-biryaani-house-victoria-road-ashok-nagar-bangalore-146304,Hyderabad Biryaani House,4.1,₹499 FOR TWO,Indian
66,92384,https://www.swiggy.com/restaurants/ambur-star-briyani-since-1890-2nd-stage-indiranagar-bangalore-92384,Ambur Star Briyani Since 1890,4.3,₹600 FOR TWO,"Biryani, Chettinad, Andhra, Beverages, Seafood"
